namevariant,wikidata,preflabel,coords,begin,end
searchable,wikidata_url,canonical_form,geometry,begin_min,end_max
Rousseaustraat,http://www.wikidata.org/entity/Q19482478,Rousseaustraat,Point(4.6584 52.3589),,
Rozemarijnsteeg,http://www.wikidata.org/entity/Q98119399,Rozemarijnsteeg,Point(4.637292 52.376686),,
Roosemarynsteegje,http://www.wikidata.org/entity/Q98119399,Rozemarijnsteeg,Point(4.637292 52.376686),,
Rosemarynsteegje,http://www.wikidata.org/entity/Q98119399,Rozemarijnsteeg,Point(4.637292 52.376686),,
Rozemarynsteegje,http://www.wikidata.org/entity/Q98119399,Rozemarijnsteeg,Point(4.637292 52.376686),,
Rozenmarijnsteeg,http://www.wikidata.org/entity/Q98119399,Rozemarijnsteeg,Point(4.637292 52.376686),,
Rozenhagenplein,http://www.wikidata.org/entity/Q19482755,Rozenhagenplein,Point(4.6454 52.3884),1923,
Rozenhagenstraat,http://www.wikidata.org/entity/Q19482756,Rozenhagenstraat,Point(4.6471 52.3886),1921,
Rozenprieelstraat,http://www.wikidata.org/entity/Q19482906,Rozenprieelstraat,Point(4.6406 52.374),1878,
Rozenstraat,http://www.wikidata.org/entity/Q19482954,Rozenstraat,Point(4.635 52.3878),1688,
Korte Rozenstraat,http://www.wikidata.org/entity/Q19482954,Rozenstraat,Point(4.635 52.3878),1688,
korte Rozen straat,http://www.wikidata.org/entity/Q19482954,Rozenstraat,Point(4.635 52.3878),1688,
Rudolf Slanskystraat,http://www.wikidata.org/entity/Q19483212,Rudolf Slanskystraat,Point(4.6711 52.3787),1987,
Rudolf Steinerstraat,http://www.wikidata.org/entity/Q19483215,Rudolf Steinerstraat,Point(4.663 52.359),,
Ruslandstraat,http://www.wikidata.org/entity/Q19501252,Ruslandstraat,Point(4.649839 52.363597),1960,
Rustenburgerlaan,http://www.wikidata.org/entity/Q19501291,Rustenburgerlaan,Point(4.6365 52.3729),1609,
Lustenburgerlaan,http://www.wikidata.org/entity/Q19501291,Rustenburgerlaan,Point(4.6365 52.3729),1609,
Lustenburge-Laan,http://www.wikidata.org/entity/Q19501291,Rustenburgerlaan,Point(4.6365 52.3729),1609,
Lustenburger-laan,http://www.wikidata.org/entity/Q19501291,Rustenburgerlaan,Point(4.6365 52.3729),1609,
Rustenburger-laan,http://www.wikidata.org/entity/Q19501291,Rustenburgerlaan,Point(4.6365 52.3729),1609,
Rustenburger Laan,http://www.wikidata.org/entity/Q19501291,Rustenburgerlaan,Point(4.6365 52.3729),1609,
Rutherfordstraat,http://www.wikidata.org/entity/Q19501405,Rutherfordstraat,Point(4.6131 52.37),1960,
Ruychaverstraat,http://www.wikidata.org/entity/Q19501499,Ruychaverstraat,Point(4.6279 52.383),1888,
Ruysdaelstraat,http://www.wikidata.org/entity/Q19501593,Ruysdaelstraat,Point(4.6376 52.3911),1891,
Saeftinge,http://www.wikidata.org/entity/Q19501840,Saeftinge,Point(4.6518 52.3472),,
Saenredamstraat,http://www.wikidata.org/entity/Q17286882,Saenredamstraat,Point(4.635212 52.392865),1894,
Salieveld,http://www.wikidata.org/entity/Q97500293,Salieveld,Point(4.642616 52.36528),1992,
Salvador Allendestraat,http://www.wikidata.org/entity/Q19506539,Salvador Allendestraat,Point(4.6678 52.3758),,
Samuel Beckettstraat,http://www.wikidata.org/entity/Q19507215,Samuel Beckettstraat,Point(4.6679 52.3575),,
Sandenburg,http://www.wikidata.org/entity/Q19507305,Sandenburg,Point(4.6508 52.3507),,
Sandifortstraat,http://www.wikidata.org/entity/Q19507351,Sandifortstraat,Point(4.6621 52.3666),,
Santpoorterplein,http://www.wikidata.org/entity/Q19507441,Santpoorterplein,Point(4.6302 52.3945),1921,
Santpoorterstraat,http://www.wikidata.org/entity/Q19507442,Santpoorterstraat,Point(4.629755616 52.393584447),1902,
Saracenenstraat,http://www.wikidata.org/entity/Q19507493,Saracenenstraat,Point(4.6457 52.3744),1922,
Saturnusstraat,http://www.wikidata.org/entity/Q19507714,Saturnusstraat,Point(4.6445 52.4062),1930,
Schagchelstraat,http://www.wikidata.org/entity/Q17286890,Schagchelstraat,Point(4.635935 52.379213),1384,
Schaggel straat,http://www.wikidata.org/entity/Q17286890,Schagchelstraat,Point(4.635935 52.379213),1384,
Schalkwijkerstraat,http://www.wikidata.org/entity/Q19508327,Schalkwijkerstraat,Point(4.643 52.3761),1473,
Schalkwijkerweg,http://www.wikidata.org/entity/Q19508327,Schalkwijkerstraat,Point(4.643 52.3761),1473,
Dubbele Buurt,http://www.wikidata.org/entity/Q19508327,Schalkwijkerstraat,Point(4.643 52.3761),1473,
Schalkwykerweg,http://www.wikidata.org/entity/Q19508327,Schalkwijkerstraat,Point(4.643 52.3761),1473,
Schapenplein,http://www.wikidata.org/entity/Q19508653,Schapenplein,Point(4.6373 52.3832),1874,
Scharreveld,http://www.wikidata.org/entity/Q19508787,Scharreveld,Point(4.6566 52.3529),,
Scheepersstraat,http://www.wikidata.org/entity/Q19508876,Scheepersstraat,Point(4.6456 52.3933),1901,
Scheepmakersdijk,http://www.wikidata.org/entity/Q19508886,Scheepmakersdijk,Point(4.6443 52.3829),1465,
Schepenmakers Dijk,http://www.wikidata.org/entity/Q19508886,Scheepmakersdijk,Point(4.6443 52.3829),1465,
Scheldestraat,http://www.wikidata.org/entity/Q19509217,Scheldestraat,Point(4.6487 52.4135),1926,
Scheltemakade,http://www.wikidata.org/entity/Q19509394,Scheltemakade,Point(4.6357 52.3635),1912,
Zonnekade,http://www.wikidata.org/entity/Q19509394,Scheltemakade,Point(4.6357 52.3635),1912,
Schermerstraat,http://www.wikidata.org/entity/Q19509832,Schermerstraat,Point(4.625 52.3837),1902,
Schipholpoort,http://www.wikidata.org/entity/Q19510465,Schipholpoort,Point(4.644 52.369),1988,
Schipholweg,http://www.wikidata.org/entity/Q19510472,Schipholweg,Point(4.6444 52.3705),1949,
Schneevoogtstraat,http://www.wikidata.org/entity/Q19510590,Schneevoogtstraat,Point(4.6373 52.374),1900,
Schokkerkade,http://www.wikidata.org/entity/Q19510766,Schokkerkade,Point(4.6561 52.4034),2014,
Schoolenaerlaan,http://www.wikidata.org/entity/Q19511046,Schoolenaerlaan,Point(4.640905 52.362776),2006,
Schoonoordlaan,http://www.wikidata.org/entity/Q19511783,Schoonoordlaan,Point(4.6031 52.3838),1935,
Schoonzichtlaan,http://www.wikidata.org/entity/Q19511798,Schoonzichtlaan,Point(4.6139 52.3886),1961,
Schoterbosplein,http://www.wikidata.org/entity/Q19511956,Schoterbosplein,Point(4.6418 52.4002),1920,
Schoterbosstraat,http://www.wikidata.org/entity/Q19511957,Schoterbosstraat,Point(4.6432 52.3998),1918,
Schotersingel,http://www.wikidata.org/entity/Q19511975,Schotersingel,Point(4.635543823 52.390595595),1876,
Schoterstraat,http://www.wikidata.org/entity/Q19511976,Schoterstraat,Point(4.6398 52.3915),1884,
Schoterveenpolder,http://www.wikidata.org/entity/Q19511980,Schoterveenpolder,Point(4.6319 52.3981),,
Schoterveenstraat,http://www.wikidata.org/entity/Q19511981,Schoterveenstraat,Point(4.6362 52.3977),1920,
Schotervlielandstraat,http://www.wikidata.org/entity/Q19511983,Schotervlielandstraat,Point(4.6486 52.4073),1938,
Schoterweg,http://www.wikidata.org/entity/Q19511988,Schoterweg,Point(4.6408 52.3913),1200,
Heerenweg,http://www.wikidata.org/entity/Q19511988,Schoterweg,Point(4.6408 52.3913),1200,
Postweg naar Alkmaar,http://www.wikidata.org/entity/Q19511988,Schoterweg,Point(4.6408 52.3913),1200,
Schotlandstraat,http://www.wikidata.org/entity/Q19512007,Schotlandstraat,Point(4.645298 52.366689),1963,
Schouwtjeslaan,http://www.wikidata.org/entity/Q19512397,Schouwtjeslaan,Point(4.6217 52.3712),1800,
Schouwtjesplein,http://www.wikidata.org/entity/Q19512399,Schouwtjesplein,Point(4.6192 52.3708),1932,
Schreveliusstraat,http://www.wikidata.org/entity/Q19512463,Schreveliusstraat,Point(4.6197 52.3753),1905,
Schroeder van der Kolkstraat,http://www.wikidata.org/entity/Q19512533,Schroeder van der Kolkstraat,Point(4.6664 52.3638),,
Schuilenburg,http://www.wikidata.org/entity/Q19512693,Schuilenburg,Point(4.6556 52.3514),,
Schutterstraat,http://www.wikidata.org/entity/Q19513086,Schutterstraat,Point(4.6379 52.4043),1930,
Selma Lagerlöfstraat,http://www.wikidata.org/entity/Q19514049,Selma Lagerlöfstraat,Point(4.6686 52.3544),,
Semarangstraat,http://www.wikidata.org/entity/Q19514080,Semarangstraat,Point(4.6506 52.4056),1923,
Semmelweisstraat,http://www.wikidata.org/entity/Q19514105,Semmelweisstraat,Point(4.6617 52.3636),,
Seringenstraat,http://www.wikidata.org/entity/Q19514256,Seringenstraat,Point(4.6165 52.3719),1924,
Severijnsstraat,http://www.wikidata.org/entity/Q19514410,Severijnsstraat,Point(4.6478 52.3802),1986,
Sharpevillestraat,http://www.wikidata.org/entity/Q19514504,Sharpevillestraat,Point(4.67 52.3763),,
Sillemstraat,http://www.wikidata.org/entity/Q19514950,Sillemstraat,Point(4.6512 52.4074),1923,
Simon de Vrieshof,http://www.wikidata.org/entity/Q19515040,Simon de Vrieshof,Point(4.6392 52.381),2005,
Wage poort,http://www.wikidata.org/entity/Q19515040,Simon de Vrieshof,Point(4.6392 52.381),2005,
Sinneveltstraat,http://www.wikidata.org/entity/Q19515435,Sinneveltstraat,Point(4.6318 52.401),1929,
Sint-Antoniesteeg,http://www.wikidata.org/entity/Q19516489,Sint-Antoniesteeg,Point(4.6406 52.3783),1443,
St. Antoniesteeg,http://www.wikidata.org/entity/Q19516489,Sint-Antoniesteeg,Point(4.6406 52.3783),1443,
Houtcoopsteege,http://www.wikidata.org/entity/Q19516489,Sint-Antoniesteeg,Point(4.6406 52.3783),1443,
Hondesteech of Hondesteeg,http://www.wikidata.org/entity/Q19516489,Sint-Antoniesteeg,Point(4.6406 52.3783),1443,
Sint-Bavostraat,http://www.wikidata.org/entity/Q19516491,Sint-Bavostraat,Point(4.6512 52.4144),1925,
Sint-Jorisveld,http://www.wikidata.org/entity/Q19516534,Sint-Jorisveld,Point(4.6391 52.3937),2010,
Siriusstraat,http://www.wikidata.org/entity/Q19516598,Siriusstraat,Point(4.6353 52.4049),1930,
Siwartstraat,http://www.wikidata.org/entity/Q19516649,Siwartstraat,Point(4.6468 52.3721),1922,
Slachthuisstraat,http://www.wikidata.org/entity/Q19516984,Slachthuisstraat,Point(4.6444 52.3738),1907,
Slagerspoort,http://www.wikidata.org/entity/Q19517039,Slagerspoort,Point(4.6329 52.383),1682,
Slagers poort,http://www.wikidata.org/entity/Q19517039,Slagerspoort,Point(4.6329 52.383),1682,
Slamatstraat,http://www.wikidata.org/entity/Q19517091,Slamatstraat,Point(4.6507 52.4018),1929,
Slangenkruidlaan,http://www.wikidata.org/entity/Q19517133,Slangenkruidlaan,Point(4.6071 52.3704),1935,
Slaperdijkweg,http://www.wikidata.org/entity/Q19517155,Slaperdijkweg,Point(4.6772 52.4183),1700,
Slaperdijkweg (Spaarndam-West),http://www.wikidata.org/entity/Q19517155,Slaperdijkweg,Point(4.6772 52.4183),1700,
Slauerhoffstraat,http://www.wikidata.org/entity/Q19517181,Slauerhoffstraat,Point(4.645934 52.417943),1954,
Sleedoornweg,http://www.wikidata.org/entity/Q19517287,Sleedoornweg,Point(4.605 52.3722),1987,
Sleutelstraat,http://www.wikidata.org/entity/Q19517445,Sleutelstraat,Point(4.6441 52.3803),1620,
Slotelstraat,http://www.wikidata.org/entity/Q19517445,Sleutelstraat,Point(4.6441 52.3803),1620,
Sleutel straat,http://www.wikidata.org/entity/Q19517445,Sleutelstraat,Point(4.6441 52.3803),1620,
Slot van Nieuwerkerkstraat,http://www.wikidata.org/entity/Q19518626,Slot van Nieuwerkerkstraat,Point(4.6388 52.362),2006,
Smedestraat,http://www.wikidata.org/entity/Q17286143,Smedestraat,Point(4.635249 52.38288),1400,
Smede straat,http://www.wikidata.org/entity/Q17286143,Smedestraat,Point(4.635249 52.38288),1400,
Snelliusstraat,http://www.wikidata.org/entity/Q19522625,Snelliusstraat,Point(4.6121 52.3708),1929,
Söderblomstraat,http://www.wikidata.org/entity/Q19522884,Söderblomstraat,Point(4.6649 52.3558),,
Soendaplein,http://www.wikidata.org/entity/Q19522905,Soendaplein,Point(4.6441 52.3988),1908,
Soendastraat,http://www.wikidata.org/entity/Q19522910,Soendastraat,Point(4.6451 52.3977),1906,
Soerabajastraat,http://www.wikidata.org/entity/Q19522926,Soerabajastraat,Point(4.6513 52.4055),1923,
Soestdijkstraat,http://www.wikidata.org/entity/Q19522961,Soestdijkstraat,Point(4.6223 52.3728),1987,
Solidarnoscstraat,http://www.wikidata.org/entity/Q19523035,Solidarnoscstraat,Point(4.6692 52.3796),1987,
Solostraat,http://www.wikidata.org/entity/Q19523056,Solostraat,Point(4.6514 52.4017),1926,
Soerakartastraat,http://www.wikidata.org/entity/Q19523056,Solostraat,Point(4.6514 52.4017),1926,
Sontstraat,http://www.wikidata.org/entity/Q19523186,Sontstraat,Point(4.6129 52.3745),1938,
Sophiastraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
bereider straat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
Bereiderstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
Bereyderstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
Beryderstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
Breyderstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
Bryderstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
berijderstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
bereiderstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
Brijerstraat,http://www.wikidata.org/entity/Q19523235,Sophiastraat,Point(4.6281 52.3786),1882,
Soutmanstraat,http://www.wikidata.org/entity/Q19524329,Soutmanstraat,Point(4.6361 52.392),1898,
Sowetostraat,http://www.wikidata.org/entity/Q19524648,Sowetostraat,Point(4.6689 52.3761),,
Spaansevaartstraat,http://www.wikidata.org/entity/Q19526004,Spaansevaartstraat,Point(4.645 52.3963),1905,
Spaarndammerdijk,http://www.wikidata.org/entity/Q19526934,Spaarndammerdijk,Point(4.6808 52.4135),1220,
Spaarndammerdijk (Spaarndam-West),http://www.wikidata.org/entity/Q19526934,Spaarndammerdijk,Point(4.6808 52.4135),1220,
Spaarndamseweg,http://www.wikidata.org/entity/Q19527123,Spaarndamseweg,Point(4.6487 52.3886),1900,
Spaarndammerweg,http://www.wikidata.org/entity/Q19527123,Spaarndamseweg,Point(4.6487 52.3886),1900,
Jaagpad naar Spaarndam,http://www.wikidata.org/entity/Q19527123,Spaarndamseweg,Point(4.6487 52.3886),1900,
Spaarne,http://www.wikidata.org/entity/Q2412885,Spaarne,Point(4.63851 52.37854),1286,
Spaarne (Haarlem),http://www.wikidata.org/entity/Q2412885,Spaarne,Point(4.63851 52.37854),1286,
Spaarnelaan,http://www.wikidata.org/entity/Q19527552,Spaarnelaan,Point(4.6329 52.3645),1907,
Spaarnhovenstraat,http://www.wikidata.org/entity/Q19528410,Spaarnhovenstraat,Point(4.6493 52.4039),1922,
Spaarnoogstraat,http://www.wikidata.org/entity/Q19528451,Spaarnoogstraat,Point(4.6473 52.3842),1920,
Spaarnrijkstraat,http://www.wikidata.org/entity/Q19528481,Spaarnrijkstraat,Point(4.6472 52.4059),1930,
Spaarnwouderstraat,http://www.wikidata.org/entity/Q17286899,Spaarnwouderstraat,Point(4.640667 52.379508),1483,
Achterstraat,http://www.wikidata.org/entity/Q17286899,Spaarnwouderstraat,Point(4.640667 52.379508),1483,
Spaarnwouder straat,http://www.wikidata.org/entity/Q17286899,Spaarnwouderstraat,Point(4.640667 52.379508),1483,
Spanjaardslaan,http://www.wikidata.org/entity/Q19530768,Spanjaardslaan,Point(4.6206 52.3643),1665,
Lindenlaan,http://www.wikidata.org/entity/Q19530768,Spanjaardslaan,Point(4.6206 52.3643),1665,
Sparenbergstraat,http://www.wikidata.org/entity/Q19532275,Sparenbergstraat,Point(4.6317 52.3995),1929,
Sparrenstraat,http://www.wikidata.org/entity/Q19532382,Sparrenstraat,Point(4.6369 52.3987),1923,
Spekstraat,http://www.wikidata.org/entity/Q17286911,Spekstraat,Point(4.636297 52.380819),1400,
Op de Beeck achter het Sandt,http://www.wikidata.org/entity/Q17286911,Spekstraat,Point(4.636297 52.380819),1400,
Kerckstraet achter de Hall,http://www.wikidata.org/entity/Q17286911,Spekstraat,Point(4.636297 52.380819),1400,
Op de Beek,http://www.wikidata.org/entity/Q17286911,Spekstraat,Point(4.636297 52.380819),1400,
Halstraat,http://www.wikidata.org/entity/Q17286911,Spekstraat,Point(4.636297 52.380819),1400,
Kerkstraat,http://www.wikidata.org/entity/Q17286911,Spekstraat,Point(4.636297 52.380819),1400,
Spek straat,http://www.wikidata.org/entity/Q17286911,Spekstraat,Point(4.636297 52.380819),1400,
Sperwerstraat,http://www.wikidata.org/entity/Q19532875,Sperwerstraat,Point(4.6556 52.4111),1932,
Spiegelstraat,http://www.wikidata.org/entity/Q19532966,Spiegelstraat,Point(4.6441 52.3795),1487,
(Brede of Nieuwe) Molensteeg,http://www.wikidata.org/entity/Q19532966,Spiegelstraat,Point(4.6441 52.3795),1487,
Molen steeg,http://www.wikidata.org/entity/Q19532966,Spiegelstraat,Point(4.6441 52.3795),1487,
Spijkerboorpad,http://www.wikidata.org/entity/Q19533089,Spijkerboorpad,Point(4.6638 52.3597),,
Spijkermanslaan,http://www.wikidata.org/entity/Q19533112,Spijkermanslaan,Point(4.6337 52.3696),1653,
Spykerlaan,http://www.wikidata.org/entity/Q19533112,Spijkermanslaan,Point(4.6337 52.3696),1653,
Heeremanslaan,http://www.wikidata.org/entity/Q19533112,Spijkermanslaan,Point(4.6337 52.3696),1653,
Heeremans- of Spykerlaan,http://www.wikidata.org/entity/Q19533112,Spijkermanslaan,Point(4.6337 52.3696),1653,
spijkerlaan,http://www.wikidata.org/entity/Q19533112,Spijkermanslaan,Point(4.6337 52.3696),1653,
lange spijkersmanslaan,http://www.wikidata.org/entity/Q19533112,Spijkermanslaan,Point(4.6337 52.3696),1653,
Spionkopstraat,http://www.wikidata.org/entity/Q19535434,Spionkopstraat,Point(4.6468 52.3943),1901,
Spioenkopstraat,http://www.wikidata.org/entity/Q19535434,Spionkopstraat,Point(4.6468 52.3943),1901,
Spoelderstraat,http://www.wikidata.org/entity/Q19537635,Spoelderstraat,Point(4.6589 52.3583),,
Spoorwegstraat,http://www.wikidata.org/entity/Q19542077,Spoorwegstraat,Point(4.6216 52.3865),1883,
Sportweg,http://www.wikidata.org/entity/Q19544050,Sportweg,Point(4.647425 52.410032),1958,
Spruitenbosstraat,http://www.wikidata.org/entity/Q19544622,Spruitenbosstraat,Point(4.6204 52.3689),1902,
Staalstraat,http://www.wikidata.org/entity/Q19545906,Staalstraat,Point(4.6655 52.3794),1958,
Stalkruidlaan,http://www.wikidata.org/entity/Q19546315,Stalkruidlaan,Point(4.6069 52.368),1935,
Stalpaert van der Wielenstraat,http://www.wikidata.org/entity/Q19546327,Stalpaert van der Wielenstraat,Point(4.6548 52.4191),1934,
Staringstraat,http://www.wikidata.org/entity/Q19546569,Staringstraat,Point(4.6503 52.3777),1924,
Staten Bolwerk,http://www.wikidata.org/entity/Q19546678,Staten Bolwerk,Point(4.6354 52.389),1876,
Stationsplein,http://www.wikidata.org/entity/Q19546855,Stationsplein,Point(4.6375 52.3868),1841,
Stationsplein (Haarlem),http://www.wikidata.org/entity/Q19546855,Stationsplein,Point(4.6375 52.3868),1841,
Stavangerstraat,http://www.wikidata.org/entity/Q19547366,Stavangerstraat,Point(4.646703 52.360382),1964,
Steenbokstraat,http://www.wikidata.org/entity/Q19548000,Steenbokstraat,Point(4.6364 52.405),1930,
Steenbokweg,http://www.wikidata.org/entity/Q19548000,Steenbokstraat,Point(4.6364 52.405),1930,
Steenwachterstraat,http://www.wikidata.org/entity/Q19548306,Steenwachterstraat,Point(4.652 52.3682),,
Stenenmuurslaan,http://www.wikidata.org/entity/Q98119906,Stenenmuurslaan,Point(4.624647 52.372437),,1895
Steene-Muurs-Laan,http://www.wikidata.org/entity/Q98119906,Stenenmuurslaan,Point(4.624647 52.372437),,1895
Steenemuur,http://www.wikidata.org/entity/Q98119906,Stenenmuurslaan,Point(4.624647 52.372437),,1895
Steenemuurslaan,http://www.wikidata.org/entity/Q98119906,Stenenmuurslaan,Point(4.624647 52.372437),,1895
Steene Muur,http://www.wikidata.org/entity/Q98119906,Stenenmuurslaan,Point(4.624647 52.372437),,1895
Steenemuurs-Laan,http://www.wikidata.org/entity/Q98119906,Stenenmuurslaan,Point(4.624647 52.372437),,1895
Stephensonstraat,http://www.wikidata.org/entity/Q19549912,Stephensonstraat,Point(4.6134 52.3693),1939,
Sterrebosstraat,http://www.wikidata.org/entity/Q19550716,Sterrebosstraat,Point(4.6216 52.3829),1924,
Steve Bikostraat,http://www.wikidata.org/entity/Q19550891,Steve Bikostraat,Point(4.6679 52.3771),,
Stockholmstraat,http://www.wikidata.org/entity/Q19551240,Stockholmstraat,Point(4.644277 52.359978),1964,
Stolbergstraat,http://www.wikidata.org/entity/Q19551388,Stolbergstraat,Point(4.6249 52.3755),1909,
Stormbaanstraat,http://www.wikidata.org/entity/Q19551529,Stormbaanstraat,Point(4.6377 52.393),2010,
Straatje van Anna Cramer,http://www.wikidata.org/entity/Q19554205,Straatje van Anna Cramer,Point(4.6554 52.374),,
Straatje van Oosterzee,http://www.wikidata.org/entity/Q19554228,Straatje van Oosterzee,Point(4.6551 52.3736),,
Strandwal,http://www.wikidata.org/entity/Q19556847,Strandwal,Point(4.6706 52.3744),,
Stresemannlaan,http://www.wikidata.org/entity/Q19558214,Stresemannlaan,Point(4.6595 52.3576),,
Stuijvesantplein,http://www.wikidata.org/entity/Q19558611,Stuijvesantplein,Point(4.6323 52.4005),1930,
Stuyvesantplein,http://www.wikidata.org/entity/Q19558611,Stuijvesantplein,Point(4.6323 52.4005),1930,
Stuijvesantstraat,http://www.wikidata.org/entity/Q19558612,Stuijvesantstraat,Point(4.6343 52.3998),1929,
Stuyvesantstraat,http://www.wikidata.org/entity/Q19558612,Stuijvesantstraat,Point(4.6343 52.3998),1929,
Stuverstraat,http://www.wikidata.org/entity/Q19558702,Stuverstraat,Point(4.6276 52.3865),1898,
Sumatrastraat,http://www.wikidata.org/entity/Q19558929,Sumatrastraat,Point(4.6453 52.3969),1908,
Surinameweg,http://www.wikidata.org/entity/Q19559004,Surinameweg,Point(4.6524 52.3626),,
Sutan Sjahrirstraat,http://www.wikidata.org/entity/Q19559048,Sutan Sjahrirstraat,Point(4.6699 52.3745),,
Sutan Sjahrirstraat (Zuiderpolder),http://www.wikidata.org/entity/Q19559048,Sutan Sjahrirstraat,Point(4.6699 52.3745),,
Suzette Noiretstraat,http://www.wikidata.org/entity/Q19559145,Suzette Noiretstraat,Point(4.6723 52.3806),,
Swammerdamplein,http://www.wikidata.org/entity/Q19559210,Swammerdamplein,Point(4.6632 52.3672),,
Swensweg,http://www.wikidata.org/entity/Q19561694,Swensweg,Point(4.6684 52.3862),1988,
Taanplaats,http://www.wikidata.org/entity/Q19563429,Taanplaats,Point(4.6778 52.4135),1925,
Taanplaats (Spaarndam-West),http://www.wikidata.org/entity/Q19563429,Taanplaats,Point(4.6778 52.4135),1925,
Tafelbergstraat,http://www.wikidata.org/entity/Q19563615,Tafelbergstraat,Point(4.6495 52.3944),1934,
Talmastraat,http://www.wikidata.org/entity/Q19563772,Talmastraat,Point(4.6467 52.3891),1921,
Tamarindestraat,http://www.wikidata.org/entity/Q19563838,Tamarindestraat,Point(4.6388 52.3984),1926,
Tappersweg,http://www.wikidata.org/entity/Q19564021,Tappersweg,Point(4.6543 52.3968),,
Teding van Berkhoutstraat,http://www.wikidata.org/entity/Q19564527,Teding van Berkhoutstraat,Point(4.6537 52.3803),1905,
Tempeliersstraat,http://www.wikidata.org/entity/Q2667797,Tempeliersstraat,Point(4.6272 52.3759),1900,
Tempellierstraat,http://www.wikidata.org/entity/Q2667797,Tempeliersstraat,Point(4.6272 52.3759),1900,
Ten Katestraat,http://www.wikidata.org/entity/Q19565076,Ten Katestraat,Point(4.6559 52.3766),1919,
Tennispad,http://www.wikidata.org/entity/Q19565131,Tennispad,Point(4.640182 52.365853),1973,
Ter Cleeffstraat,http://www.wikidata.org/entity/Q96277244,Ter Cleeffstraat,Point(4.631321 52.396328),1921,
Pellikaenstraat,http://www.wikidata.org/entity/Q96277244,Ter Cleeffstraat,Point(4.631321 52.396328),1921,
Ter Haarstraat,http://www.wikidata.org/entity/Q19565205,Ter Haarstraat,Point(4.6555 52.3762),1919,
Ter Spijtstraat,http://www.wikidata.org/entity/Q96278260,Ter Spijtstraat,Point(4.63738 52.396268),1915,
Ter Weeuwenstraat,http://www.wikidata.org/entity/Q19565282,Ter Weeuwenstraat,Point(4.639581 52.363125),2006,
Terheidenstraat,http://www.wikidata.org/entity/Q19565344,Terheidenstraat,Point(4.6122 52.3748),1938,
Ternatestraat,http://www.wikidata.org/entity/Q19565409,Ternatestraat,Point(4.6472 52.3988),1921,
Terschellingpad,http://www.wikidata.org/entity/Q19565520,Terschellingpad,Point(4.6462 52.354),,
Tersierstraat,http://www.wikidata.org/entity/Q19565537,Tersierstraat,Point(4.6563 52.3621),,
Terworm,http://www.wikidata.org/entity/Q19565576,Terworm,Point(4.6583 52.3491),,
Teslastraat,http://www.wikidata.org/entity/Q19565586,Teslastraat,Point(4.6132 52.3674),1924,
Tesselschadeplein,http://www.wikidata.org/entity/Q19565612,Tesselschadeplein,Point(4.6498 52.4164),1934,
Tesselschadestraat,http://www.wikidata.org/entity/Q19565620,Tesselschadestraat,Point(4.6496 52.4181),1934,
Tetterodestraat,http://www.wikidata.org/entity/Q19565647,Tetterodestraat,Point(4.6303 52.3914),1902,
Texelhof,http://www.wikidata.org/entity/Q19565735,Texelhof,Point(4.6468 52.3546),,
Teylerplein,http://www.wikidata.org/entity/Q19565768,Teylerplein,Point(4.65 52.379),1910,
Teylershofjestraat,http://www.wikidata.org/entity/Q19565769,Teylershofjestraat,Point(4.6425 52.3816),1885,
Teylerstraat,http://www.wikidata.org/entity/Q19565773,Teylerstraat,Point(4.6477 52.3785),1883,
Theemsplein,http://www.wikidata.org/entity/Q19565863,Theemsplein,Point(4.6126 52.3756),1938,
Theemsstraat,http://www.wikidata.org/entity/Q19565865,Theemsstraat,Point(4.6136 52.3756),1938,
Eerste cq Tweede Theemsstraat,http://www.wikidata.org/entity/Q19565865,Theemsstraat,Point(4.6136 52.3756),1938,
Thomas Morestraat,http://www.wikidata.org/entity/Q19566180,Thomas Morestraat,Point(4.6628 52.3544),,
Thomsonlaan,http://www.wikidata.org/entity/Q19566218,Thomsonlaan,Point(4.6112 52.3707),1926,
Thorbeckeplantsoen,http://www.wikidata.org/entity/Q19566290,Thorbeckeplantsoen,Point(4.6508 52.3853),,
Timorstraat,http://www.wikidata.org/entity/Q19567024,Timorstraat,Point(4.6461 52.4009),1921,
Tingietersweg,http://www.wikidata.org/entity/Q19567085,Tingietersweg,Point(4.6565 52.3986),,
Tiranaplantsoen,http://www.wikidata.org/entity/Q19567153,Tiranaplantsoen,Point(4.6515 52.3594),1969,
Titus Brandsmapad,http://www.wikidata.org/entity/Q19567219,Titus Brandsmapad,Point(4.6617 52.3794),1993,
